"hour","day_of_week","mean_length","median_length","total_rides"
20,"Friday",11.6199095022624,8.06666666666667,1326
9,"Sunday",11.2593182996371,7.7,1286
21,"Wednesday",13.1937647058824,8.53333333333333,1275
21,"Thursday",10.42738791423,7.95,1197
19,"Saturday",15.2414548022599,8.78333333333333,1180
10,"Monday",9.87943995208146,7.9,1113
19,"Sunday",12.1899094033115,8.7,1067
21,"Tuesday",10.3920825335893,7.75833333333333,1042
21,"Monday",11.5846477923829,8.38333333333333,989
8,"Sunday",11.2120484171322,7.43333333333333,895
21,"Friday",16.3739008792966,7.88333333333333,834
20,"Saturday",11.5716352201258,8.31666666666667,795
5,"Thursday",9.62215216477512,6.7,793
7,"Saturday",10.6380336351876,7.68333333333333,773
5,"Friday",12.7106198526225,7,769
22,"Thursday",10.1325197889182,7.61666666666667,758
5,"Tuesday",9.22001375515818,6.38333333333333,727
5,"Wednesday",8.71000918273646,6.74166666666667,726
20,"Sunday",12.8105885190545,7.36666666666667,691
22,"Friday",12.929644373673,8.2,628
22,"Wednesday",9.80203317281969,7.4,623
5,"Monday",8.55623655913979,6.48333333333333,620
21,"Saturday",15.8493705528188,8.95,609
21,"Sunday",15.4004429678848,8.9,602
22,"Tuesday",10.1376344086021,7.28333333333333,589
22,"Saturday",11.5781556372549,8.53333333333333,544
7,"Sunday",10.4514,8.125,500
22,"Monday",10.3560026827632,7.6,497
23,"Friday",10.1787518037518,7.55,462
23,"Saturday",12.9652582159624,8.91666666666667,426
22,"Sunday",11.5233013589129,8.11666666666667,417
23,"Thursday",10.8618744698897,7.5,393
0,"Sunday",17.7014050387597,7.525,344
0,"Saturday",11.4606153846154,7.81666666666667,325
23,"Wednesday",11.5256613756614,8.11666666666667,315
23,"Tuesday",16.1507738095238,7.69166666666666,280
6,"Saturday",11.0457232704403,9.18333333333333,265
0,"Friday",13.3843926553672,6.68333333333334,236
1,"Saturday",11.5574391988555,7.1,233
1,"Sunday",11.8373333333333,8.41666666666667,225
23,"Monday",11.3445185185185,8.23333333333333,225
23,"Sunday",11.7452136752137,8.83333333333333,195
0,"Tuesday",12.616404886562,6.61666666666667,191
6,"Sunday",10.1959484346225,7.85,181
4,"Thursday",8.42490740740741,6.15833333333333,180
0,"Thursday",9.08189655172414,5.95,174
4,"Tuesday",7.73611111111111,5.59166666666667,174
2,"Sunday",10.8119883040936,7.6,171
4,"Wednesday",7.39376278118609,5.6,163
4,"Monday",8.43470464135021,6.1,158
0,"Wednesday",9.14647435897436,6.65,156
4,"Friday",8.37333333333333,6.01666666666667,155
2,"Saturday",11.2989417989418,7.85833333333334,126
1,"Friday",12.5810666666667,8.83333333333333,125
5,"Saturday",10.4286111111111,8.18333333333334,120
0,"Monday",10.8019005847953,7.5,114
3,"Sunday",13.1609649122807,9.36666666666667,114
1,"Tuesday",9.59182692307692,8,104
3,"Saturday",16.7475247524753,8.53333333333333,101
5,"Sunday",11.5061224489796,7.83333333333333,98
2,"Friday",11.3814606741573,7.96666666666667,89
1,"Wednesday",7.97901960784314,6,85
3,"Friday",10.6920091324201,7.88333333333333,73
